provider_code,provider_name,provider_postcode,site_code,site_name,site_postcode,establishment_ukprn,establishment_urn,establishment_name,establishment_postcode
1BK,The Millais Alliance,RH13 5HR,H,Hangleton Primary School,BN3 8LF,10072141,114399,Hangleton Primary School,BN3 8LF
1BK,The Millais Alliance,RH13 5HR,J,Hazelwick School,RH10 1SX,10034642,137263,Hazelwick School,RH10 1SX
1BK,The Millais Alliance,RH13 5HR,A,Heron Way Primary School,RH13 6DJ,10079778,125887,Heron Way Primary School,RH13 6DJ
1BK,The Millais Alliance,RH13 5HR,3,Imberhorne School,RH19 1QY,10003262,126088,Imberhorne School,RH19 1QY
1BK,The Millais Alliance,RH13 5HR,M,Kingslea Primary School,rh13 5ps,10074127,134776,Kingslea Primary School,RH13 5PS
1BK,The Millais Alliance,RH13 5HR,T,Maidenbower Junior School,RH10 7RA,10076704,131603,Maidenbower Junior School,RH10 7RA
1BK,The Millais Alliance,RH13 5HR,V,Manor Green College,RH11 0DX,10016863,126157,Manor Green College,RH11 0DX
1BK,The Millais Alliance,RH13 5HR,Q,Millais School,RH13 5HR,10016537,126066,Millais School,RH13 5HR
1BK,The Millais Alliance,RH13 5HR,O,Oak Grove College,BN13 1JX,10016755,126161,Oak Grove College,BN13 1JX
1BK,The Millais Alliance,RH13 5HR,4,Oathall Community College,RH16 2AQ,10016812,126085,Oathall Community College,RH16 2AQ
1BK,The Millais Alliance,RH13 5HR,I,Plaistow and Kirdford Primary school,RH14 0PX,10071163,125848,Plaistow and Kirdford Primary School,RH14 0PX
1BK,The Millais Alliance,RH13 5HR,D,Rustington Community Primary School,BN16 3PW,10040740,139478,Rustington Community Primary School,BN16 3PW
1BK,The Millais Alliance,RH13 5HR,6,Southwater Junior Academy ,RH13 9JH,10034122,136865,Southwater Junior Academy,RH13 9JH
1BK,The Millais Alliance,RH13 5HR,5,Tanbridge House School,RH12 1SR,10017297,126064,Tanbridge House School,RH12 1SR
1BK,The Millais Alliance,RH13 5HR,1,Upper Beeding Primary School,BN44 3HY,10073865,125857,Upper Beeding Primary School,BN44 3HY
1BK,The Millais Alliance,RH13 5HR,Z,Woodlands Meed,RH15 9EY,10038783,136114,Woodlands Meed,RH15 9EY
1BK,The Millais Alliance,RH13 5HR,R,Worthing High School,BN14 7AR,10039717,139109,Worthing High School,BN14 7AR
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,K,Bar Hill Community Primary School,CB23 8DY,10067771,145801,Bar Hill Community Primary School,CB23 8DY
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,6,Ely College,CB6 2SH,10058113,143404,Ely College,CB6 2SH
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,2,Nene Park Academy,PE2 7EA,10034976,137082,Nene Park Academy,PE2 7EA
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,4,North Cambridge Academy,CB4 2JF,10041582,139401,North Cambridge Academy,CB4 2JF
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,5,Sawtry Village Academy,PE28 5TQ,10034849,136974,Sawtry Village Academy,PE28 5TQ
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,7,Stamford Welland Academy,PE9 1HE,10035739,137600,Stamford Welland Academy,PE9 1HE
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,1,Swavesey Village College,CB24 4RS,10033420,136580,Swavesey Village College,CB24 4RS
2KU,Cambridge Meridian Academies Trust & Swavesey Village College,CB24 4RS,3,West Town Primary Academy,PE3 6DD,10045926,140855,West Town Primary Academy,PE3 6DD
S18,The University of Sheffield,S10 2TN,-,University of Sheffield,S10 2TN,10007157,133872,University of Sheffield,S10 2TN
1R3,Achieve with TELA,LE9 6PT,3,Badgerbrook Primary School,LE8 6ZW,10069873,119978,Badgerbrook Primary School,LE8 6ZW
1R3,Achieve with TELA,LE9 6PT,H,Barwell Church of England Academy,LE9 8DS,10039189,138965,Barwell Church of England Academy,LE9 8DS
1R3,Achieve with TELA,LE9 6PT,B,Brockington College,LE19 4AQ,10037877,138521,Brockington College,LE19 4AQ
1R3,Achieve with TELA,LE9 6PT,1,Cosby Primary School,LE9 1TE,10037878,138528,Cosby Primary School,LE9 1TE
1R3,Achieve with TELA,LE9 6PT,5,Hallbrook Primary School,LE9 6WX,10061513,143609,Hallbrook Primary School,LE9 6WX
1R3,Achieve with TELA,LE9 6PT,F,Hastings High School,LE10 2QE,10043072,140103,Hastings High School,LE10 2QE
1R3,Achieve with TELA,LE9 6PT,I,Manor High School,LE2 4FU,10034675,137120,Manor High School,LE2 4FU
1R3,Achieve with TELA,LE9 6PT,6,Old Mill Primary School,LE9 6PT,10064858,144837,Old Mill Primary School,LE9 6PT
1R3,Achieve with TELA,LE9 6PT,J,Redmoor Academy,LE10 0EP,10036927,137968,Redmoor Academy,LE10 0EP
1R3,Achieve with TELA,LE9 6PT,L,The Market Bosworth School,CV13 0JT,10037108,138108,The Market Bosworth School,CV13 0JT
1R3,Achieve with TELA,LE9 6PT,O,The Roundhill Academy,LE4 8GQ,10037020,138079,The Roundhill Academy,LE4 8GQ
1R3,Achieve with TELA,LE9 6PT,M,Thomas Estley Community College,LE9 6PT,10038162,138527,Thomas Estley Community College,LE9 6PT
1R3,Achieve with TELA,LE9 6PT,S,Ullesthorpe Church of England Primary School,LE17 5DN,10063927,144114,Ullesthorpe Church of England Primary School,LE17 5DN
1R3,Achieve with TELA,LE9 6PT,P,Wreake Valley Academy,LE7 1LY,10036929,137983,Wreake Valley Academy,LE7 1LY
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,T,Chesterton Community Sports College,ST5 7LP,10044263,140470,Chesterton Community Sports College,ST5 7LP
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,4,Endon High School,ST9 9EE,10086806,148002,Endon High School,ST9 9EE
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,N,Haywood Academy,ST6 7AB,10035046,138549,Haywood Academy,ST6 7AB
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,D,Heron Cross Primary School,ST4 4LJ,10075870,124003,Heron Cross Primary School,ST4 4LJ
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,M,St Thomas More Catholic Academy,ST3 2NJ,10043916,140304,St Thomas More Catholic Academy,ST3 2NJ
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,G,Sutherland Primary Academy,ST3 3DY,10036039,138548,Sutherland Primary Academy,ST3 3DY
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,L,Thistley Hough Academy,ST4 5JJ,10039917,139068,Thistley Hough Academy,ST4 5JJ
1UV,Ormiston Sir Stanley Matthews Academy,ST3 3JD,3,Trentham Academy,ST4 8PQ,10064035,144558,Trentham Academy,ST4 8PQ
2EQ,South Durham Teaching Alliance,DL17 0PT,F,Ferryhill Business and Enterprise College,DL17 8RW,10067542,145253,Ferryhill Business and Enterprise College,DL17 8RW
2L5,Catalyst Teaching School Alliance,CM23 5NJ,C,Comberton Village College,CB23 7DU,10032979,136463,Comberton Village College,CB23 7DU
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,7,Aldercar High School,NG16 4HL,10014980,112939,Aldercar High School,NG16 4HL
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,3,Carlton le Willows Academy,NG4 4AA,10033342,136627,Carlton le Willows Academy,NG4 4AA
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,F,Colonel Frank Seely Academy,NG14 6JZ,10063682,144182,Colonel Frank Seely Academy,NG14 6JZ
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,6,Hall Park Academy,NG16 3EA,10046281,140992,Hall Park Academy,NG16 3EA
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,V,Kirkby College,NG17 7DH,10038099,138481,Kirkby College,NG17 7DH
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,K,Park Vale Academy,NG5 9AZ,10063173,144487,Park Vale Academy,NG5 9AZ
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,4,The Bolsover School,S44 6XA,10039053,138836,The Bolsover School,S44 6XA
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,G,The Dukeries Academy,NG22 9TD,10039872,139062,The Dukeries Academy,NG22 9TD
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,2,The Elizabethan Academy,DN22 7PY,10037017,138076,The Elizabethan Academy,DN22 7PY
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,J,The Oakwood Academy,NG5 9PJ,10047489,141363,The Oakwood Academy,NG5 9PJ
2A5,Inspiring Leaders with Redhill Secondary Teacher Training,NG5 8GX,L,Tupton Hall School,S42 6LG,10084228,146099,Tupton Hall School,S42 6LG
2.00E+09,Stamford ITE Cluster,PE9 2SR,4,Malcolm Sargent Primary School,PE9 2SR,10035802,137680,Malcolm Sargent Primary School,PE9 2SR
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,B,Berewood Primary School,PO7 3BE,10044092,140211,Berewood Primary School,PO7 3BE
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,F,Bordon Junior School,GU35 0JB,10068451,146002,Bordon Junior School,GU35 0JB
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,E,Fernhurst Primary School,GU27 3EA,10047161,141266,Fernhurst Primary School,GU27 3EA
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,R,Frogmore Junior School,GU17 0NY,10042697,139944,Frogmore Junior School,GU17 0NY
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,K,Kingsham Primary School,PO19 8BN,10046971,141181,Kingsham Primary School,PO19 8BN
2DH,University of Chichester Academy Trust School Direct Partnership,PO21 1HR,-,Oakmoor School ,GU35 0JB,10043303,140182,Oakmoor School,GU35 0JB
1V7,Yorkshire and Humber School Direct,HU5 4ET,D,Appleton Primary School,HU5 4PG,10043439,140229,Appleton Primary School,HU5 4PG
1V7,Yorkshire and Humber School Direct,HU5 4ET,B,Bricknell Primary School,HU5 4ET,10043446,140235,Bricknell Primary School,HU5 4ET
1V7,Yorkshire and Humber School Direct,HU5 4ET,E,Francis Askew Primary School,HU4 6LQ,10046449,141078,Francis Askew Primary School,HU4 6LQ
1V7,Yorkshire and Humber School Direct,HU5 4ET,L,Havelock Academy,DN32 8JH,10021045,135294,Havelock Academy,DN32 8JH
1V7,Yorkshire and Humber School Direct,HU5 4ET,K,Kelvin Hall School,HU5 4QH,10057629,143221,Kelvin Hall School,HU5 4QH
1V7,Yorkshire and Humber School Direct,HU5 4ET,C,Newland School for Girls,HU6 7RU,10063144,144307,Newland School for Girls,HU6 7RU
1V7,Yorkshire and Humber School Direct,HU5 4ET,F,Paisley Primary School,HU3 6NJ,10062867,144305,Paisley Primary School,HU3 6NJ
1V7,Yorkshire and Humber School Direct,HU5 4ET,7,Rise Academy,HU2 0LH,10063724,144422,Rise Academy,HU2 0LH
1V7,Yorkshire and Humber School Direct,HU5 4ET,R,Rokeby Park Primary School,HU4 7NJ,10067760,145611,Rokeby Park Primary School,HU4 7NJ
1V7,Yorkshire and Humber School Direct,HU5 4ET,1,Sirius Academy North,HU6 9BP,10037713,138246,Sirius Academy North,HU6 9BP
1V7,Yorkshire and Humber School Direct,HU5 4ET,6,Sirius Academy West,HU4 7JB,10027700,135945,Sirius Academy West,HU4 7JB
1V7,Yorkshire and Humber School Direct,HU5 4ET,G,Stoneferry Primary School,HU7 0BA,10067733,145612,Stoneferry Primary School,HU7 0BA
1V7,Yorkshire and Humber School Direct,HU5 4ET,V,Victoria Dock Primary School,HU9 1TL,10081457,131510,Victoria Dock Primary School,HU9 1TL
1V7,Yorkshire and Humber School Direct,HU5 4ET,A,Withernsea High School,HU19 2EQ,10007560,118075,Withernsea High School,HU19 2EQ
1ZO,Teach Wimbledon,SW20 8HA,1,Aragon Primary School,SM4 4QU,10064684,144838,Aragon Primary School,SM4 4QU
1ZO,Teach Wimbledon,SW20 8HA,K,Hatfeild Primary School,SM4 4SJ,10072863,102632,Hatfeild Primary School,SM4 4SJ
1ZO,Teach Wimbledon,SW20 8HA,I,Joseph Hood Primary School,SW20 9NS,10080014,102634,Joseph Hood Primary School,SW20 9NS
1ZO,Teach Wimbledon,SW20 8HA,N,Links Primary School,SW17 9EH,10080013,102635,Links Primary School,SW17 9EH
1ZO,Teach Wimbledon,SW20 8HA,3,Lonesome Primary School,CR4 1SD,10080012,102636,Lonesome Primary School,CR4 1SD
1ZO,Teach Wimbledon,SW20 8HA,H,Raynes Park High School,SW20 0JL,10017511,102674,Raynes Park High School,SW20 0JL
1ZO,Teach Wimbledon,SW20 8HA,4,Ricards Lodge High School,SW19 7HB,10017432,102673,Ricards Lodge High School,SW19 7HB
1ZO,Teach Wimbledon,SW20 8HA,5,Rutlish School,SW20 9AD,10017396,102679,Rutlish School,SW20 9AD
1ZO,Teach Wimbledon,SW20 8HA,7,Singlegate Primary School,SW19 2NT,10080003,102647,Singlegate Primary School,SW19 2NT
1ZO,Teach Wimbledon,SW20 8HA,8,St John Fisher RC Primary School,SW20 9NA,10079504,102671,St John Fisher RC Primary School,SW20 9NA
1ZO,Teach Wimbledon,SW20 8HA,9,St Mark's Church of England Academy,CR4 1SF,10017766,134003,St Mark's Church of England Academy,CR4 1SF
1ZO,Teach Wimbledon,SW20 8HA,C,Wimbledon College,SW19 4NS,10007531,102681,Wimbledon College,SW19 4NS
12K,Trent Valley Teaching School Alliance,NG22 0JH,3,Bracken Lane Primary Academy,DN22 7EU,10063981,144526,Bracken Lane Primary Academy,DN22 7EU
12K,Trent Valley Teaching School Alliance,NG22 0JH,C,East Leake Academy,LE12 6QN,10039406,138964,East Leake Academy,LE12 6QN
12K,Trent Valley Teaching School Alliance,NG22 0JH,8,East Markham Primary School,NG22 0RG,10073938,122638,East Markham Primary School,NG22 0RG
12K,Trent Valley Teaching School Alliance,NG22 0JH,A,Everton Primary School,DN10 5BJ,10069293,122641,Everton Primary School,DN10 5BJ
12K,Trent Valley Teaching School Alliance,NG22 0JH,6,Gateford Park Primary School,S81 7RG,10073660,131722,Gateford Park Primary School,S81 7RG
12K,Trent Valley Teaching School Alliance,NG22 0JH,P,Holgate Academy,NG15 6PX,10042703,139956,Holgate Academy,NG15 6PX
12K,Trent Valley Teaching School Alliance,NG22 0JH,4,Leverton Church of England Academy,DN22 0AD,10036972,137986,Leverton Church of England Academy,DN22 0AD
12K,Trent Valley Teaching School Alliance,NG22 0JH,7,Mattersey Primary School,DN10 5ED,10069291,122655,Mattersey Primary School,DN10 5ED
12K,Trent Valley Teaching School Alliance,NG22 0JH,N,Maun Infant and Nursery School,NG22 9RJ,10072796,122667,Maun Infant and Nursery School,NG22 9RJ
12K,Trent Valley Teaching School Alliance,NG22 0JH,B,Ordsall Primary School,DN22 7SL,10069407,134028,Ordsall Primary School,DN22 7SL
12K,Trent Valley Teaching School Alliance,NG22 0JH,Z,Prospect Hill Junior School,S81 0LR,10075107,122730,Prospect Hill Junior School,S81 0LR
12K,Trent Valley Teaching School Alliance,NG22 0JH,9,Queen Eleanor Primary School,NG23 7EQ,10073936,122645,Queen Eleanor Primary School,NG23 7EQ
12K,Trent Valley Teaching School Alliance,NG22 0JH,G,Queen Elizabeth's Academy,NG19 7AP,10063172,144486,Queen Elizabeth's Academy,NG19 7AP
12K,Trent Valley Teaching School Alliance,NG22 0JH,H,Redgate Primary Academy,NG19 6EL,10064721,144024,Redgate Primary Academy,NG19 6EL
12K,Trent Valley Teaching School Alliance,NG22 0JH,F,Retford Oaks Academy,DN22 7NJ,10037076,137117,Retford Oaks Academy,DN22 7NJ
12K,Trent Valley Teaching School Alliance,NG22 0JH,X,St Augustine's School,S81 0DW,10070290,138238,St Augustine's School,S81 0DW
12K,Trent Valley Teaching School Alliance,NG22 0JH,M,Tuxford Primary Academy,NG22 0NA,10040074,139215,Tuxford Primary Academy,NG22 0NA
12K,Trent Valley Teaching School Alliance,NG22 0JH,5,Wainwright Primary Academy,NG19 6TF,10063171,144485,Wainwright Primary Academy,NG19 6TF
12K,Trent Valley Teaching School Alliance,NG22 0JH,T,Walkeringham Primary School,DN10 4LL,10069283,122680,Walkeringham Primary School,DN10 4LL
12K,Trent Valley Teaching School Alliance,NG22 0JH,R,Walton Academy,NG31 7JR,10033338,136624,Walton Academy,NG31 7JR
12K,Trent Valley Teaching School Alliance,NG22 0JH,J,Yeoman Park Academy,NG19 8PS,10064785,144643,Yeoman Park Academy,NG19 8PS
1QW,Dorset Teaching School Alliance,DT1 2ET,G,Dorchester Learning Centre,DT2 9PS,10016576,130316,Dorchester Learning Centre,DT2 9PS
1QW,Dorset Teaching School Alliance,DT1 2ET,C,Dorchester Middle School,DT1 2HS,10037405,138186,Dorchester Middle School,DT1 2HS
1QW,Dorset Teaching School Alliance,DT1 2ET,H,Dorset Studio School,DT2 8PX,10047092,140977,Dorset Studio School,DT2 8PX
1QW,Dorset Teaching School Alliance,DT1 2ET,F,Westfield Arts College,DT3 6AA,10015594,113960,Westfield Arts College,DT3 6AA
15X,Yorkshire Teaching School Alliance,HG2 2JR,3,Allerton High School,LS17 7AG,10000231,108057,Allerton High School,LS17 7AG
15X,Yorkshire Teaching School Alliance,HG2 2JR,4,Boroughbridge High School,YO51 9JX,10000806,121699,Boroughbridge High School,YO51 9JX
15X,Yorkshire Teaching School Alliance,HG2 2JR,9,Millthorpe School,YO23 1WF,10055670,142648,Millthorpe School,YO23 1WF
15X,Yorkshire Teaching School Alliance,HG2 2JR,7,Mount St Mary's Catholic High School,LS9 8LA,10016547,108097,Mount St Mary's Catholic High School,LS9 8LA
15X,Yorkshire Teaching School Alliance,HG2 2JR,0,Ripon Grammar School,HG4 2DG,10005481,121694,Ripon Grammar School,HG4 2DG
15X,Yorkshire Teaching School Alliance,HG2 2JR,5,St John Fisher Catholic High School,HG2 8PT,10006190,121717,St John Fisher Catholic High School,HG2 8PT
R23,Ripley TSA SCITT,LA1 4RS,S,Ashton Community Science College,PR2 1SL,10014975,119707,Ashton Community Science College,PR2 1SL
R23,Ripley TSA SCITT,LA1 4RS,9,Baines School,FY6 8BE,10000504,119813,Baines School,FY6 8BE
R23,Ripley TSA SCITT,LA1 4RS,8,Baines School,FY6 8BE,10000504,119813,Baines School,FY6 8BE
R23,Ripley TSA SCITT,LA1 4RS,O,Bolton-le-Sands Church of England Primary School,LA5 8DT,10073444,119521,Bolton-le-Sands Church of England Primary School,LA5 8DT
R23,Ripley TSA SCITT,LA1 4RS,N,Carnforth High School,LA5 9LS,10065390,145082,Carnforth High School,LA5 9LS
R23,Ripley TSA SCITT,LA1 4RS,H,Carr Hill High School,PR4 2ST,10003690,119744,Carr Hill High School,PR4 2ST
R23,Ripley TSA SCITT,LA1 4RS,7,Central Lancaster High School,LA1 3LS,10084209,147260,Central Lancaster High School,LA1 3LS
R23,Ripley TSA SCITT,LA1 4RS,D,Dowdales School,LA15 8AH,10015410,112383,Dowdales School,LA15 8AH
R23,Ripley TSA SCITT,LA1 4RS,F,Furness Academy,LA13 9BB,10027714,135940,Furness Academy,LA13 9BB
R23,Ripley TSA SCITT,LA1 4RS,G,Lancaster Royal Grammar School,LA1 3EF,10033644,136742,Lancaster Royal Grammar School,LA1 3EF
R23,Ripley TSA SCITT,LA1 4RS,M,Morecambe Bay Academy,LA4 5BG,10083190,147115,Morecambe Bay Academy,LA4 5BG
2H1,Hethersett Academy,NR9 3DB,B,Charles Darwin Primary School,NR1 1DJ,10056958,142871,Charles Darwin Primary School,NR1 1DJ
2H1,Hethersett Academy,NR9 3DB,C,Cobholm Primary Academy,NR31 0BA,10047485,141359,Cobholm Primary Academy,NR31 0BA
2H1,Hethersett Academy,NR9 3DB,M,Cottenham Village College,CB24 8UA,10035082,137434,Cottenham Village College,CB24 8UA
2H1,Hethersett Academy,NR9 3DB,D,Cromer Academy,NR27 0EX,10035057,137431,Cromer Academy,NR27 0EX
2H1,Hethersett Academy,NR9 3DB,R,Elstow School,MK42 9GP,10063100,144039,Elstow School,MK42 9GP
2H1,Hethersett Academy,NR9 3DB,F,Great Yarmouth Charter Academy,NR30 4LS,10056992,142883,Great Yarmouth Charter Academy,NR30 4LS
2H1,Hethersett Academy,NR9 3DB,A,Hethersett Academy,NR9 3DB,10043337,140188,Hethersett Academy,NR9 3DB
2H1,Hethersett Academy,NR9 3DB,H,Jane Austen College,NR3 1DD,10045920,140815,Jane Austen College,NR3 1DD
2H1,Hethersett Academy,NR9 3DB,I,Norwich Primary Academy,NR5 8ED,10042707,139929,Norwich Primary Academy,NR5 8ED
2H1,Hethersett Academy,NR9 3DB,P,Samuel Ward Academy,CB9 0LD,10032209,136322,Samuel Ward Academy,CB9 0LD
2H1,Hethersett Academy,NR9 3DB,J,Stradbroke Primary Academy,NR31 6LZ,10047484,141358,Stradbroke Primary Academy,NR31 6LZ
2H1,Hethersett Academy,NR9 3DB,K,The Thetford Academy,IP24 1LH,10031106,136204,The Thetford Academy,IP24 1LH
2H1,Hethersett Academy,NR9 3DB,S,Willingham Primary School,CB24 5LE,10077877,110622,Willingham Primary School,CB24 5LE
2FW,Five Towns ITT Partnership,WF10 4JQ,-,Castleford Academy,WF10 4JQ,10033351,136633,Castleford Academy,WF10 4JQ
2DX,Ilkley All Saints' Teacher Training Partnership,LS29 9BE,Z,Kettlewell Primary School ,BD23 5HX,10074843,121406,Kettlewell Primary School,BD23 5HX
2FP,"Queen Elizabeth II Silver Jubilee School, Horsham",RH13 5NW,O,Oak Grove College,BN13 1JX,10016755,126161,Oak Grove College,BN13 1JX
2FP,"Queen Elizabeth II Silver Jubilee School, Horsham",RH13 5NW,S,St Anthony's School,PO19 5PA,10017928,126155,St Anthony's School,PO19 5PA
2FP,"Queen Elizabeth II Silver Jubilee School, Horsham",RH13 5NW,W,Woodlands Meed,RH15 9EY,10038783,136114,Woodlands Meed,RH15 9EY
1OO,St Thomas More Catholic School,NE21 4BQ,6,Sacred Heart Catholic Primary School,NE16 6NU,10045196,140638,Sacred Heart Catholic Primary School,NE16 6NU
2LH,Millennium Primary School,SE10 0BG,X,Brooklands Primary School,SE3 9AB,10057784,143210,Brooklands Primary School,SE3 9AB
2LH,Millennium Primary School,SE10 0BG,4,Timbercroft Primary School,SE18 2SG,10057776,143209,Timbercroft Primary School,SE18 2SG
17P,Eliot Bank Primary School,SE4 1HQ,B,Gordonbrock Primary School,SE4 1HQ,10074640,100684,Gordonbrock Primary School,SE4 1HQ
25F,Associated Merseyside Partnership SCITT,L31 6DE,Q,Deyes High School,L31 6DE,10035012,137533,Deyes High School,L31 6DE
25F,Associated Merseyside Partnership SCITT,L31 6DE,H,Greenbank High School,PR8 2LT,10035686,137604,Greenbank High School,PR8 2LT
25F,Associated Merseyside Partnership SCITT,L31 6DE,X,Holy Rosary Catholic Primary School ,L10 6NJ,10074965,104940,Holy Rosary Catholic Primary School,L10 6NJ
25F,Associated Merseyside Partnership SCITT,L31 6DE,3,South Wirral High School ,CH62 8EH,10006012,105107,South Wirral High School,CH62 8EH
1ZZ,Marsden Heights Community College,BB9 0PR,M,Marsden Heights Community College,BB9 0PR,10080947,146276,Marsden Heights Community College,BB9 0PR
1ZZ,Marsden Heights Community College,BB9 0PR,V,Pendle Vale College,BB9 8LF,10017926,134989,Pendle Vale College,BB9 8LF
1ZZ,Marsden Heights Community College,BB9 0PR,W,West Craven High School,BB18 5TB,10056714,142856,West Craven High School,BB18 5TB
27Q,Wigan and West Lancashire Catholic School Direct,WN49PF,9,St Gregory's Catholic High School,WA5 1HG,10017463,111454,St Gregory's Catholic High School,WA5 1HG
2J8,Court Moor Partnership,GU52 7RY,P,Court Moor School,GU52 7RY,10015454,116412,Court Moor School,GU52 7RY
2J8,Court Moor Partnership,GU52 7RY,F,Fernhill School,GU14 9BY,10017964,116447,Fernhill School,GU14 9BY
2J8,Court Moor Partnership,GU52 7RY,H,Heatherside Junior School,GU52 7TH,10079098,116010,Heatherside Junior School,GU52 7TH
2J8,Court Moor Partnership,GU52 7RY,R,Rowhill School,GU11 3JG,10017291,115836,Rowhill School,GU11 3JG
2J8,Court Moor Partnership,GU52 7RY,6,Tomlinscote School,GU16 8PY,10043066,140117,Tomlinscote School,GU16 8PY
2J8,Court Moor Partnership,GU52 7RY,X,Tower Hill Primary School,GU14 0BW,10075230,116142,Tower Hill Primary School,GU14 0BW
19B,Westbourne Primary School,SM1 2NT,W,Westbourne Primary School,SM1 2NT,10033767,136796,Westbourne Primary School,SM1 2NT
B31,The Bedfordshire Schools  Training Partnership,SG5 4HB,R,Robert Bloomfield Academy,SG17 5BU,10033598,136713,Robert Bloomfield Academy,SG17 5BU
2KA,Archbishop Blanch School,L7 6HQ,3,King David High School,L15 6WU,10003618,104703,King David High School,L15 6WU
2KA,Archbishop Blanch School,L7 6HQ,5,The Academy of St Francis of Assisi,L6 7UR,10063161,144493,The Academy of St Francis of Assisi,L6 7UR
2KA,Archbishop Blanch School,L7 6HQ,4,The Academy of St Nicholas,L19 5NY,10030434,136119,The Academy of St Nicholas,L19 5NY
2HG,Devon and Cornwall Cooperative Alliance,PL19 8DD,T,Tavistock College,PL19 8DD,10066409,145336,Tavistock College,PL19 8DD
2G3,Doncaster Regional Alliance For Teacher Training Secondary,DN1 3BU,1,Hall Cross Academy,DN1 2HY,10036412,137842,Hall Cross Academy,DN1 2HY
1SP,Middlesbrough Schools' Teaching Alliance,TS3 8PW,Y,York St John University,YO31 7EX,10007713,133914,York St John University,YO31 7EX
1KP,Haberdashers' Aske's Federation,SE14 5SF,C,Haberdashers' Aske's Crayford Academy,DA1 4RS,10027982,135951,Haberdashers' Aske's Crayford Academy,DA1 4RS
1KP,Haberdashers' Aske's Federation,SE14 5SF,H,Haberdashers' Aske's Hatcham College,SE14 5SF,10007941,135073,Haberdashers' Aske's Hatcham College,SE14 5SF
1KP,Haberdashers' Aske's Federation,SE14 5SF,K,Haberdashers' Aske's Knights Academy,BR1 5EB,10015563,135070,Haberdashers' Aske's Knights Academy,BR1 5EB
1KP,Haberdashers' Aske's Federation,SE14 5SF,L,Langley Park School for Boys,BR3 3BP,10033254,136586,Langley Park School for Boys,BR3 3BP
2AN,Shropshire Primary Partnership,SY4 5BX,A,Woodfield Infant School,SY3 8LU,10067736,145791,Woodfield Infant School,SY3 8LU
1UC,Blackburn Team Alliance,BB2 6LX,3,Avondale Primary School,BB3 1NN,10069918,119294,Avondale Primary School,BB3 1NN
1UC,Blackburn Team Alliance,BB2 6LX,C,Daisyfield Primary School,BB1 5LB,10076220,119123,Daisyfield Primary School,BB1 5LB
1UC,Blackburn Team Alliance,BB2 6LX,A,Feniscowles Primary School,BB2 5EG,10069951,119163,Feniscowles Primary School,BB2 5EG
1UC,Blackburn Team Alliance,BB2 6LX,E,Longshaw Infant School,BB2 3NF,10074056,119125,Longshaw Infant School,BB2 3NF
1UC,Blackburn Team Alliance,BB2 6LX,9,Turncroft Nursery School,BB3 2DN,,119099,Turncroft Nursery School,BB3 2DN
2AS,Prestolee SCITT,M26 1HJ,M,Roby Park Primary School,L36 4NY,10073144,104420,Roby Park Primary School,L36 4NY
1CW,City Excellence in Teaching,E1 2JP,R,Central Foundation Girls' School,E3 2AE,10001258,100975,Central Foundation Girls' School,E3 2AE
5T5,Three  Rivers Academy,KT12 5PY,T,Meadhurst Primary School,TW15 1LP,10081172,146264,Meadhurst Primary School,TW15 1LP
5T5,Three  Rivers Academy,KT12 5PY,3,Three Rivers Academy,KT12 5PY,10063180,144503,Three Rivers Academy,KT12 5PY
